Thread,Block,Number of step,Seed,Test kerkel,"Mean of result of Test kernel
in float_st (MoT)","Significant digits
of MoT",Reference kernel,"Mean of result of Reference kernel 
in double_st (MoR)","Significant digits 
of MoR","Mean of absolute error of 
two kernel results in double_st (MEAN)","Significant digits
of MEAN","Similar Representation Part 
of MoR and MoT (SRP)","Number of Similar Digits
in fractional part of MoR and MoT 
without exponent (NSD)"
32,512,1,1,5,0.14157E+003,5,8,0.141573212963266E+003,15,0.466642852813947E-003,15,0.14157,5
32,512,1,2,5,-0.94451E+002,5,8,-0.944515437528662E+002,15,0.402395444325520E-003,15,-0.94451,5
32,512,1,3,5,-0.12072E+003,5,8,-0.120726427593710E+003,15,0.404237590686307E-003,15,-0.12072,5
32,512,1,4,5,-0.1308E+002,4,8,-0.130821606731842E+002,15,0.424426439469272E-003,15,-0.1308,4
32,512,1,5,5,0.12863E+003,5,8,0.128629984260314E+003,15,0.407178487279225E-003,15,0.1286,4
32,512,1,6,5,0.15766E+003,5,8,0.157666582364970E+003,15,0.450512634103006E-003,15,0.15766,5
32,512,1,7,5,0.27293E+003,5,8,0.272936606664996E+003,15,0.506779014074254E-003,15,0.27293,5
32,512,1,8,5,-0.22657E+003,5,8,-0.226574426500749E+003,15,0.492581478880538E-003,15,-0.22657,5
32,512,1,9,5,-0.96375E+002,5,8,-0.963759972646730E+002,15,0.427603214731675E-003,15,-0.96375,5
32,512,1,10,5,-0.10327E+003,5,8,-0.103273154132391E+003,15,0.408364162765906E-003,15,-0.10327,5
32,512,N,1,5,0.14157E+003,5,8,0.141572039192122E+003,15,0.470573502752813E-003,15,0.14157,5
32,512,N,2,5,-0.94449E+002,5,8,-0.944495209071064E+002,15,0.444572471081983E-003,15,-0.94449,5
32,512,N,3,5,-0.12072E+003,5,8,-0.120728547775728E+003,15,0.459396822407143E-003,15,-0.12072,5
32,512,N,4,5,-0.1307E+002,4,8,-0.130798596802633E+002,15,0.458028245096997E-003,15,-0.1307,4
32,512,N,5,5,0.12862E+003,5,8,0.128627720266937E+003,15,0.453561187896411E-003,15,0.12862,5
32,512,N,6,5,0.15766E+003,5,8,0.157668878098455E+003,15,0.474115086433357E-003,15,0.15766,5
32,512,N,7,5,0.27293E+003,5,8,0.272934585153896E+003,15,0.432749749336380E-003,15,0.27293,5
32,512,N,8,5,-0.22657E+003,5,8,-0.226571982118515E+003,15,0.489605494919942E-003,15,-0.22657,5
32,512,N,9,5,-0.96378E+002,5,8,-0.963788888950366E+002,15,0.460753760606280E-003,15,-0.96378,5
32,512,N,10,5,-0.10327E+003,5,8,-0.103270968573557E+003,15,0.470933583230248E-003,15,-0.10327,5
64,256,1,1,5,0.14157E+003,5,8,0.141574384913979E+003,15,0.474705160740995E-003,15,0.14157,5
64,256,1,2,5,-0.94451E+002,5,8,-0.944515437528662E+002,15,0.392222918279117E-003,15,-0.94451,5
64,256,1,3,5,-0.12072E+003,5,8,-0.120726427593710E+003,15,0.485617799014903E-003,15,-0.12072,5
64,256,1,4,5,-0.1308E+002,4,8,-0.130821606731842E+002,15,0.460030280615697E-003,15,-0.1308,4
