Thread,Block,Number of step,Seed,Test kerkel,"Mean of result of Test kernel
in float_st (MoT)","Significant digits
of MoT",Reference kernel,"Mean of result of Reference kernel 
in double_st (MoR)","Significant digits 
of MoR","Mean of absolute error of 
two kernel results in double_st (MEAN)","Significant digits
of MEAN","Similar Representation Part 
of MoR and MoT (SRP)","Number of Similar Digits
in fractional part of MoR and MoT 
without exponent (NSD)"
128,256,N,3,2,-0.12072E+003,5,8,-0.120728547775728E+003,15,0.201817370310664E-003,15,-0.12072,5
128,256,N,4,2,-0.1308E+002,4,8,-0.130798596802633E+002,15,0.191741855815052E-003,15,-0.130,3
128,256,N,5,2,0.12862E+003,5,8,0.128627720266937E+003,15,0.207653004821395E-003,15,0.12862,5
128,256,N,6,2,0.15766E+003,5,8,0.157668878098455E+003,15,0.187099106284449E-003,15,0.15766,5
128,256,N,7,2,0.27293E+003,5,8,0.272934585153896E+003,15,0.197946865228004E-003,15,0.27293,5
128,256,N,8,2,-0.22657E+003,5,8,-0.226571982118515E+003,15,0.202126275922864E-003,15,-0.22657,5
128,256,N,9,2,-0.96379E+002,5,8,-0.963788888950366E+002,15,0.169942853972315E-003,15,-0.9637,4
128,256,N,10,2,-0.10327E+003,5,8,-0.103270968573557E+003,15,0.159763031348347E-003,15,-0.10327,5
256,128,1,1,2,0.14157E+003,5,8,0.141574384913979E+003,15,0.542661934161969E-004,15,0.14157,5
256,128,1,2,2,-0.94451E+002,5,8,-0.944515437528662E+002,15,0.382050392232713E-003,15,-0.94451,5
256,128,1,3,2,-0.12072E+003,5,8,-0.120726427593710E+003,15,0.414410116718499E-003,15,-0.12072,5
256,128,1,4,2,-0.1308E+002,4,8,-0.130821606731842E+002,15,0.474017503922397E-003,15,-0.1308,4
256,128,1,5,2,0.12863E+003,5,8,0.128629984260314E+003,15,0.417351013311417E-003,15,0.1286,4
256,128,1,6,2,0.15766E+003,5,8,0.157666582364970E+003,15,0.430167582010199E-003,15,0.15766,5
256,128,1,7,2,0.27293E+003,5,8,0.272936606664996E+003,15,0.103572548425745E-003,15,0.27293,5
256,128,1,8,2,-0.22657E+003,5,8,-0.226574426500749E+003,15,0.117770083619461E-003,15,-0.22657,5
256,128,1,9,2,-0.96376E+002,5,8,-0.963759972646730E+002,15,0.810230873469208E-004,15,-0.9637,4
256,128,1,10,2,-0.10327E+003,5,8,-0.103273154132391E+003,15,0.161297295562690E-003,15,-0.10327,5
256,128,N,1,2,0.14157E+003,5,8,0.141572039192122E+003,15,0.787429034971864E-004,15,0.14157,5
256,128,N,2,2,-0.94449E+002,5,8,-0.944495209071064E+002,15,0.843988830894204E-004,15,-0.94449,5
256,128,N,3,2,-0.12072E+003,5,8,-0.120728547775728E+003,15,0.899195838428568E-004,15,-0.12072,5
256,128,N,4,2,-0.1307E+002,4,8,-0.130798596802633E+002,15,0.760293720905025E-004,15,-0.1307,4
256,128,N,5,2,0.12862E+003,5,8,0.128627720266937E+003,15,0.105927744414202E-003,15,0.12862,5
256,128,N,6,2,0.15766E+003,5,8,0.157668878098455E+003,15,0.853738458772568E-004,15,0.15766,5
256,128,N,7,2,0.272934E+003,6,8,0.272934585153896E+003,15,0.962216048492336E-004,15,0.272934,6
256,128,N,8,2,-0.22657E+003,5,8,-0.226571982118515E+003,15,0.800559634228648E-004,15,-0.22657,5
256,128,N,9,2,-0.96378E+002,5,8,-0.963788888950366E+002,15,0.987351716901230E-004,15,-0.96378,5
256,128,N,10,2,-0.10327E+003,5,8,-0.103270968573557E+003,15,0.783828230197514E-004,15,-0.10327,5
