Thread,Block,Number of step,Seed,Test kerkel,"Mean of result of Test kernel
in float_st (MoT)","Significant digits
of MoT",Reference kernel,"Mean of result of Reference kernel 
in double_st (MoR)","Significant digits 
of MoR","Mean of absolute error of 
two kernel results in double_st (MEAN)","Significant digits
of MEAN","Similar Representation Part 
of MoR and MoT (SRP)","Number of Similar Digits
in fractional part of MoR and MoT 
without exponent (NSD)"
256,128,N,1,0,0.141572E+003,6,8,0.141572039192122E+003,15,0.263730481719903E-005,15,0.141572,6
256,128,N,2,0,-0.944495E+002,6,8,-0.944495209071064E+002,15,0.233637268394204E-004,15,-0.944495,6
256,128,N,3,0,-0.1207285E+003,7,8,-0.120728547775728E+003,15,0.163315053214319E-005,15,-0.1207285,7
256,128,N,4,0,-0.130798E+002,6,8,-0.130798596802633E+002,15,0.609325555345208E-005,15,-0.130798,6
256,128,N,5,0,0.128627E+003,6,8,0.128627720266937E+003,15,0.420248397858813E-005,15,0.128627,6
256,128,N,6,0,0.157668E+003,6,8,0.157668878098455E+003,15,0.163514145583576E-004,15,0.157668,6
256,128,N,7,0,0.2729345E+003,7,8,0.272934585153896E+003,15,0.148413964780047E-004,15,0.2729345,7
256,128,N,8,0,-0.226571E+003,6,8,-0.226571982118515E+003,15,0.216692969843279E-004,15,-0.226571,6
256,128,N,9,0,-0.963788E+002,6,8,-0.963788888950366E+002,15,0.718243731512302E-005,15,-0.963788,6
256,128,N,10,0,-0.103270E+003,6,8,-0.103270968573557E+003,15,0.717514072334779E-005,15,-0.103270,6
