Thread,Block,Number of step,Seed,Test kerkel,"Mean of result of Test kernel
in float_st (MoT)","Significant digits
of MoT",Reference kernel,"Mean of result of Reference kernel 
in double_st (MoR)","Significant digits 
of MoR","Mean of absolute error of 
two kernel results in double_st (MEAN)","Significant digits
of MEAN","Similar Representation Part 
of MoR and MoT (SRP)","Number of Similar Digits
in fractional part of MoR and MoT 
without exponent (NSD)"
32,512,1,1,7,0.141573E+003,6,8,0.141573212963266E+003,15,0.191984649688947E-003,15,0.141573,6
32,512,1,2,7,-0.944514E+002,6,8,-0.944515437528662E+002,15,0.565295589041170E-004,15,-0.94451,5
32,512,1,3,7,-0.120726E+003,6,8,-0.120726427593710E+003,15,0.738711332815000E-004,15,-0.120726,6
32,512,1,4,7,-0.13082E+002,5,8,-0.130821606731842E+002,15,0.118532138003502E-003,15,-0.13082,5
32,512,1,5,7,0.128629E+003,6,8,0.128629984260314E+003,15,0.101447814813582E-003,15,0.128629,6
32,512,1,6,7,0.157666E+003,6,8,0.157666582364970E+003,15,0.149666402364800E-003,15,0.157666,6
32,512,1,7,7,0.272936E+003,6,8,0.272936606664996E+003,15,0.628824442401310E-004,15,0.272936,6
32,512,1,8,7,-0.2265744E+003,7,8,-0.226574426500749E+003,15,0.246452809733455E-004,15,-0.2265744,7
32,512,1,9,7,-0.963760E+002,6,8,-0.963759972646730E+002,15,0.911956133933244E-004,15,-0.9637,4
32,512,1,10,7,-0.103273E+003,6,8,-0.103273154132391E+003,15,0.100262139312690E-003,15,-0.103273,6
32,512,N,1,7,0.1415719E+003,7,8,0.141572039192122E+003,15,0.129605533714993E-003,15,0.14157,5
32,512,N,2,7,-0.944496E+002,6,8,-0.944495209071064E+002,15,0.145434039339420E-003,15,-0.94449,5
32,512,N,3,7,-0.1207286E+003,7,8,-0.120728547775728E+003,15,0.100092109889260E-003,15,-0.120728,6
32,512,N,4,7,-0.130800E+002,6,8,-0.130798596802633E+002,15,0.162495843444077E-003,15,-0.130,3
32,512,N,5,7,0.1286275E+003,7,8,0.128627720266937E+003,15,0.156790374603588E-003,15,0.128627,6
32,512,N,6,7,0.1576687E+003,7,8,0.157668878098455E+003,15,0.955463719094495E-004,15,0.157668,6
32,512,N,7,7,0.2729344E+003,7,8,0.272934585153896E+003,15,0.116566656913619E-003,15,0.272934,6
32,512,N,8,7,-0.2265721E+003,7,8,-0.226571982118515E+003,15,0.181781223830057E-003,15,-0.22657,5
32,512,N,9,7,-0.963790E+002,6,8,-0.963788888950366E+002,15,0.119080223768719E-003,15,-0.9637,4
32,512,N,10,7,-0.1032710E+003,7,8,-0.103270968573557E+003,15,0.682102969733477E-004,15,-0.10327,5
64,256,1,1,7,0.141574E+003,6,8,0.141574384913979E+003,15,0.949562975733897E-004,15,0.141574,6
64,256,1,2,7,-0.944516E+002,6,8,-0.944515437528662E+002,15,0.553682275494793E-004,15,-0.94451,5
64,256,1,3,7,-0.1207265E+003,7,8,-0.120726427593710E+003,15,0.738711332815000E-004,15,-0.120726,6
64,256,1,4,7,-0.13082E+002,5,8,-0.130821606731842E+002,15,0.574969817535020E-004,15,-0.13082,5
64,256,1,5,7,0.128629E+003,6,8,0.128629984260314E+003,15,0.101447814813582E-003,15,0.128629,6
64,256,1,6,7,0.157666E+003,6,8,0.157666582364970E+003,15,0.377686158969936E-004,15,0.157666,6
64,256,1,7,7,0.2729365E+003,7,8,0.272936606664996E+003,15,0.832274963613599E-004,15,0.272936,6
64,256,1,8,7,-0.226574E+003,6,8,-0.226574426500749E+003,15,0.974250315266544E-004,15,-0.226574,6
64,256,1,9,7,-0.963761E+002,6,8,-0.963759972646730E+002,15,0.111540665471920E-003,15,-0.9637,4
64,256,1,10,7,-0.103273E+003,6,8,-0.103273154132391E+003,15,0.697445611876901E-004,15,-0.103273,6
64,256,N,1,7,0.1415719E+003,7,8,0.141572039192122E+003,15,0.129605533714993E-003,15,0.14157,5
64,256,N,2,7,-0.944495E+002,6,8,-0.944495209071064E+002,15,0.715385128557954E-005,15,-0.944495,6
64,256,N,3,7,-0.1207286E+003,7,8,-0.120728547775728E+003,15,0.797470578106640E-004,15,-0.120728,6
64,256,N,4,7,-0.130799E+002,6,8,-0.130798596802633E+002,15,0.823872008659520E-004,15,-0.13079,5
64,256,N,5,7,0.1286276E+003,7,8,0.128627720266937E+003,15,0.957552183535881E-004,15,0.128627,6
64,256,N,6,7,0.1576688E+003,7,8,0.157668878098455E+003,15,0.548562677522568E-004,15,0.1576688,7
64,256,N,7,7,0.2729344E+003,7,8,0.272934585153896E+003,15,0.962216048492336E-004,15,0.272934,6
64,256,N,8,7,-0.2265720E+003,7,8,-0.226571982118515E+003,15,0.597109113300575E-004,15,-0.22657,5
64,256,N,9,7,-0.9637897E+002,7,8,-0.963788888950366E+002,15,0.783901195973157E-004,15,-0.96378,5
64,256,N,10,7,-0.1032710E+003,7,8,-0.103270968573557E+003,15,0.376927188483477E-004,15,-0.10327,5
128,128,1,1,7,0.1415743E+003,7,8,0.141574384913979E+003,15,0.339211413233897E-004,15,0.1415743,7
128,128,1,2,7,-0.944516E+002,6,8,-0.944515437528662E+002,15,0.146920961924479E-003,15,-0.94451,5
128,128,1,3,7,-0.120726E+003,6,8,-0.120726427593710E+003,15,0.535260811886928E-004,15,-0.120726,6
128,128,1,4,7,-0.13082E+002,5,8,-0.130821606731842E+002,15,0.473244557124274E-004,15,-0.13082,5
128,128,1,5,7,0.1286299E+003,7,8,0.128629984260314E+003,15,0.607577106279677E-004,15,0.1286299,7
128,128,1,6,7,0.157666E+003,6,8,0.157666582364970E+003,15,0.129321350271993E-003,15,0.157666,6
128,128,1,7,7,0.2729365E+003,7,8,0.272936606664996E+003,15,0.832274963613599E-004,15,0.272936,6
128,128,1,8,7,-0.2265745E+003,7,8,-0.226574426500749E+003,15,0.974250315266544E-004,15,-0.226574,6
128,128,1,9,7,-0.963760E+002,6,8,-0.963759972646730E+002,15,0.708505613147281E-004,15,-0.9637,4
