date,symbol,open,close,low,high,volume
04-01-2010,A,31.389999,31.300001,31.13,31.630001,3815500
04-01-2010,AAP,40.700001,40.380001,40.360001,41.040001,1701700
04-01-2010,AAPL,213.429998,214.009998,212.380001,214.499996,123432400
04-01-2010,ABC,26.290001,26.629999,26.139999,26.690001,2455900
04-01-2010,ABT,54.189953,54.459951,53.919951,54.559954,10829000
04-01-2010,ACN,41.52,42.07,41.5,42.200001,3650100
04-01-2010,ADBE,36.650002,37.09,36.650002,37.299999,4710200
04-01-2010,ADI,31.790001,31.67,31.610001,32.189999,2102700
04-01-2010,ADM,31.48,31.469999,31.33,31.84,3472500
04-01-2010,ADP,43.54,42.830002,42.700002,43.54,3930100
04-01-2010,ADS,65.0,65.889999,64.959999,66.0,794300
04-01-2010,ADSK,25.610001,25.67,25.610001,25.83,2228600
04-01-2010,AEE,28.030001,27.76,27.690001,28.27,1299300
04-01-2010,AEP,35.099998,34.939999,34.799999,36.0,4076600
04-01-2010,AES,13.38,13.67,13.38,13.7,4597600
04-01-2010,AET,32.060001,33.0,31.870001,33.080002,5671300
04-01-2010,AGN,39.700001,40.290001,39.700001,40.459999,856400
04-01-2010,AIG,30.530001,29.889999,29.41,30.540001,7750900
04-01-2010,AIZ,29.700001,30.16,29.610001,30.209999,1228200
04-01-2010,AJG,22.6,22.33,22.280001,22.809999,379300
04-01-2010,AKAM,25.629999,25.92,25.530001,26.059999,3015600
04-01-2010,ALB,36.91,38.09,36.900002,38.240002,712900
04-01-2010,ALK,34.82,34.869999,34.400002,35.279999,1802400
04-01-2010,ALL,30.360001,30.41,30.09,30.51,2631000
04-01-2010,ALXN,49.009998,48.25,47.869999,49.57,1128200
04-01-2010,AMAT,14.05,14.3,14.03,14.57,18615100
04-01-2010,AME,38.449998,38.6,38.449998,39.2,876700
04-01-2010,AMG,67.959999,68.879997,67.879997,69.059998,306100
04-01-2010,AMGN,56.630001,57.720001,56.560001,57.869999,5277400
04-01-2010,AMP,39.099998,39.880001,38.919998,39.970001,2238700
04-01-2010,AMT,43.490002,43.459999,43.279999,43.889999,2750500
04-01-2010,AMZN,136.25,133.899994,133.139999,136.610001,7599900
04-01-2010,AN,19.459999,19.27,19.209999,19.620001,1650400
04-01-2010,ANTM,58.689999,59.75,58.380001,59.810001,4641800
04-01-2010,AON,38.450001,37.939999,37.810001,38.5,3407100
04-01-2010,APA,104.940002,105.870003,104.529999,106.459999,2364900
04-01-2010,APC,63.599998,64.739998,63.470001,64.900002,3324500
04-01-2010,APD,82.109994,83.16,81.709996,83.26,1131400
04-01-2010,APH,47.009998,45.939999,45.91,47.009998,2457200
04-01-2010,ARNC,16.470014,16.650013,16.400012,16.890013,11512100
04-01-2010,ATVI,11.23,11.3,11.15,11.45,9306600
04-01-2010,AVB,83.07,81.199997,81.010002,83.349998,1483400
04-01-2010,AVGO,18.299999,18.860001,18.01,18.9,538700
04-01-2010,AVY,36.740002,36.849998,36.419998,36.970001,1301200
04-01-2010,AWK,22.41,22.65,22.41,22.860001,2176100
04-01-2010,AXP,40.810001,40.919998,40.389999,41.099998,6894300
04-01-2010,AYI,35.880001,36.029999,35.77,36.360001,829200
04-01-2010,AZO,158.990005,158.029999,157.710007,159.389999,408300
04-01-2010,BA,55.720001,56.18,54.799999,56.389999,6186700
04-01-2010,BAC,15.24,15.69,15.12,15.75,180845200
04-01-2010,BAX,58.990002,58.289998,57.639998,58.990002,11467500
04-01-2010,BBBY,39.369999,39.029999,39.0,39.5,2971500
04-01-2010,BBT,25.690001,25.809999,25.4,25.870001,4550800
04-01-2010,BBY,39.84,40.189999,39.630001,40.580002,6433800
04-01-2010,BCR,78.589996,78.68,77.849998,78.940002,1371800
04-01-2010,BDX,78.989998,78.599998,78.260002,79.68,1793200
04-01-2010,BEN,106.18,108.0,105.899998,108.32,3746700
04-01-2010,BHI,41.220001,41.240002,41.0,41.5,5888000
04-01-2010,BIIB,53.970001,53.639999,53.599998,53.970001,2469700
04-01-2010,BK,28.190001,28.290001,27.93,28.440001,6127700
04-01-2010,BLK,236.050003,238.580002,233.520004,239.600006,238700
04-01-2010,BLL,51.860001,52.490002,51.82,52.549999,1234200
04-01-2010,BMY,25.41,25.629999,25.299999,25.700001,14376100
04-01-2010,BSX,8.86,9.01,8.78,9.13,14332300
04-01-2010,BWA,33.450001,33.779999,33.43,34.029999,1286000
04-01-2010,BXP,67.589996,67.099998,66.529999,68.330002,1511500
04-01-2010,C,3.36,3.4,3.34,3.41,40679300
04-01-2010,CA,22.889999,22.99,22.780001,23.15,3385100
